alias_venue,alias_city,canonical_venue,canonical_city,canonical_country,review_status,notes
"Manuka Oval, Canberra",Canberra,Manuka Oval,Canberra,Australia,approved_auto,source=gemini_candidate
"Maple Leaf North-East Ground, King City",King City,Maple Leaf Cricket Club,King City,Canada,approved_auto,source=gemini_candidate
Maple Leaf North-West Ground,King City,Maple Leaf Cricket Club,King City,Canada,approved_auto,source=gemini_candidate
Maple Leaf North-West Ground,Toronto,Maple Leaf Cricket Club,King City,Canada,approved_auto,source=gemini_candidate
"Maple Leaf North-West Ground, King City",King City,Maple Leaf Cricket Club,King City,Canada,approved_auto,source=gemini_candidate
Maple Leaf South-West Ground,King City,Maple Leaf Cricket Club,King City,Canada,approved_auto,source=gemini_candidate
"Marrara Cricket Ground, Darwin",Darwin,Marrara Cricket Ground,Darwin,Australia,approved_auto,source=gemini_candidate
"Marrara Stadium, Darwin",Darwin,Marrara Cricket Ground,Darwin,Australia,approved_auto,source=gemini_candidate
McLean Park,Napier,McLean Park,Napier,New Zealand,approved_auto,source=gemini_candidate
"McLean Park, Napier",Napier,McLean Park,Napier,New Zealand,approved_auto,source=gemini_candidate
Melbourne Cricket Ground,Melbourne,Melbourne Cricket Ground,Melbourne,Australia,approved_auto,source=gemini_candidate
Merchant Taylors' School Ground,Northwood,Merchant Taylors' School Ground,Northwood,England,approved_auto,source=gemini_candidate
"Merchant Taylors' School Ground, Northwood",Northwood,Merchant Taylors' School Ground,Northwood,England,approved_auto,source=gemini_candidate
Merrion Cricket Club Ground,Dublin,Merrion Cricket Club Ground,Dublin,Ireland,approved_auto,source=gemini_candidate
"Merrion Cricket Club Ground, Dublin",Dublin,Merrion Cricket Club Ground,Dublin,Ireland,approved_auto,source=gemini_candidate
"Mission Road Ground, Mong Kok",Hong Kong,Mission Road Ground,Hong Kong,Hong Kong,approved_auto,source=gemini_candidate
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Mission Road Ground,Hong Kong,Hong Kong,approved_auto,source=gemini_candidate
Moara Vlasiei Cricket Ground,Ilfov County,Moara Vlasiei Cricket Ground,Ilfov County,Romania,approved_auto,source=gemini_candidate
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Moara Vlasiei Cricket Ground,Ilfov County,Romania,approved_auto,source=gemini_candidate
Molyneux Park,Alexandra,Molyneux Park,Alexandra,New Zealand,approved_auto,source=gemini_candidate
Molyneux Park,Alexandra,Molyneux Park,Alexandra,New Zealand,approved_auto,source=gemini_candidate
"Molyneux Park, Alexandra",Alexandra,Molyneux Park,Alexandra,New Zealand,approved_auto,source=gemini_candidate
Multan Cricket Stadium,Multan,Multan Cricket Stadium,Multan,Pakistan,approved_auto,source=gemini_candidate
Nahar Singh Stadium,Faridabad,Nahar Singh Stadium,Faridabad,India,approved_auto,source=gemini_candidate
"Nahar Singh Stadium, Faridabad",Faridabad,Nahar Singh Stadium,Faridabad,India,approved_auto,source=gemini_candidate
"Narendra Modi Stadium Ground 'A', Motera",Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,approved_auto,source=gemini_candidate
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,approved_auto,source=gemini_candidate
National Cricket Stadium,St George's,National Cricket Stadium,St George's,Grenada,approved_auto,source=gemini_candidate
"National Cricket Stadium, Grenada",St George's,National Cricket Stadium,St George's,Grenada,approved_auto,source=gemini_candidate
"National Cricket Stadium, St George's",Grenada,National Cricket Stadium,St George's,Grenada,approved_auto,source=gemini_candidate
"National Cricket Stadium, St George's, Grenada",St George's,National Cricket Stadium,St George's,Grenada,approved_auto,source=gemini_candidate
National Stadium,Hamilton,National Stadium,Hamilton,Bermuda,approved_auto,source=gemini_candidate
"National Stadium, Hamilton",Hamilton,National Stadium,Hamilton,Bermuda,approved_auto,source=gemini_candidate
"National Stadium, Karachi",Karachi,National Stadium,Karachi,Pakistan,approved_auto,source=gemini_candidate
"Nehru Stadium, Poona",Pune,Nehru Stadium,Pune,India,approved_auto,source=gemini_candidate
Nevill Ground,Tunbridge Wells,Nevill Ground,Tunbridge Wells,England,approved_auto,source=gemini_candidate
"Nevill Ground, Tunbridge Wells",Tunbridge Wells,Nevill Ground,Tunbridge Wells,England,approved_auto,source=gemini_candidate
"New Wanderers Stadium, Johannesburg",Johannesburg,New Wanderers Stadium,Johannesburg,South Africa,approved_auto,source=gemini_candidate
"Newlands, Cape Town",Cape Town,Newlands,Cape Town,South Africa,approved_auto,source=gemini_candidate
Nondescripts Cricket Club Ground,Colombo,Nondescripts Cricket Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"Nondescripts Cricket Club Ground, Colombo",Colombo,Nondescripts Cricket Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
North Dalton Park,Wollongong,North Dalton Park,Wollongong,Australia,approved_auto,source=gemini_candidate
"North Dalton Park, Wollongong",Wollongong,North Dalton Park,Wollongong,Australia,approved_auto,source=gemini_candidate
North Marine Road Ground,Scarborough,North Marine Road Ground,Scarborough,England,approved_auto,source=gemini_candidate
"North Marine Road Ground, Scarborough",Scarborough,North Marine Road Ground,Scarborough,England,approved_auto,source=gemini_candidate
North Sydney Oval No.2,Sydney,North Sydney Oval,Sydney,Australia,approved_auto,source=gemini_candidate
"North Sydney Oval, Sydney",Sydney,North Sydney Oval,Sydney,Australia,approved_auto,source=gemini_candidate
"Observatory Lane, Rathmines",Dublin,"Observatory Lane, Rathmines",Dublin,Ireland,approved_auto,source=gemini_candidate
"Observatory Lane, Rathmines, Dublin",Dublin,"Observatory Lane, Rathmines",Dublin,Ireland,approved_auto,source=gemini_candidate
Old Hararians,Harare,Old Hararians Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
Old Hararians Sports Club,Harare,Old Hararians Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
"Old Hararians, Harare",Harare,Old Hararians Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
Old Trafford,Manchester,Old Trafford,Manchester,England,approved_auto,source=gemini_candidate
"Old Trafford, Manchester",Manchester,Old Trafford,Manchester,England,approved_auto,source=gemini_candidate
P Sara Oval,Colombo,P Sara Oval,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"P Sara Oval, Colombo",Colombo,P Sara Oval,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
P Saravanamuttu Stadium,Colombo,P Sara Oval,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
Pallekele International Cricket Stadium,Kandy,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,approved_auto,source=gemini_candidate
Pallekele International Cricket Stadium,Pallekele,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,approved_auto,source=gemini_candidate
Pallekele International Cricket Stadium,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,approved_auto,source=gemini_candidate
"Pembroke Cricket Club, Sandymount",Dublin,"Pembroke Cricket Club, Sandymount",Dublin,Ireland,approved_auto,source=gemini_candidate
"Pembroke Cricket Club, Sandymount, Dublin",Dublin,"Pembroke Cricket Club, Sandymount",Dublin,Ireland,approved_auto,source=gemini_candidate
Perth Stadium,Perth,Perth Stadium,Perth,Australia,approved_auto,source=gemini_candidate
Perth Stadium,,Perth Stadium,Perth,Australia,approved_auto,source=gemini_candidate
Providence Stadium,Guyana,Providence Stadium,Providence,Guyana,approved_auto,source=gemini_candidate
"Providence Stadium, Guyana",Providence,Providence Stadium,Providence,Guyana,approved_auto,source=gemini_candidate
Pukekura Park,New Plymouth,Pukekura Park,New Plymouth,New Zealand,approved_auto,source=gemini_candidate
"Pukekura Park, New Plymouth",New Plymouth,Pukekura Park,New Plymouth,New Zealand,approved_auto,source=gemini_candidate
Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
"Punjab Cricket Association Stadium, Mohali, Chandigarh",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mohali,India,approved_auto,source=gemini_candidate
Queen's Park,Chesterfield,"Queen's Park, Chesterfield",Chesterfield,England,approved_auto,source=gemini_candidate
"Queen's Park, Chesterfield",Chesterfield,"Queen's Park, Chesterfield",Chesterfield,England,approved_auto,source=gemini_candidate
Queen's Park,Invercargill,"Queen's Park, Invercargill",Invercargill,New Zealand,approved_auto,source=gemini_candidate
"Queen's Park, Invercargill",Invercargill,"Queen's Park, Invercargill",Invercargill,New Zealand,approved_auto,source=gemini_candidate
Queen's Park Oval,Port of Spain,Queen's Park Oval,Port of Spain,Trinidad and Tobago,approved_auto,source=gemini_candidate
"Queen's Park Oval, Port of Spain",Trinidad,Queen's Park Oval,Port of Spain,Trinidad and Tobago,approved_auto,source=gemini_candidate
"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,Queen's Park Oval,Port of Spain,Trinidad and Tobago,approved_auto,source=gemini_candidate
"Queen's Park Oval, Trinidad",Port of Spain,Queen's Park Oval,Port of Spain,Trinidad and Tobago,approved_auto,source=gemini_candidate
Queens Sports Club,Bulawayo,Queens Sports Club,Bulawayo,Zimbabwe,approved_auto,source=gemini_candidate
"Queens Sports Club, Bulawayo",Bulawayo,Queens Sports Club,Bulawayo,Zimbabwe,approved_auto,source=gemini_candidate
Queenstown Events Centre,Queenstown,Queenstown Events Centre,Queenstown,New Zealand,approved_auto,source=gemini_candidate
Queenstown Events Centre,,Queenstown Events Centre,Queenstown,New Zealand,approved_auto,source=gemini_candidate
R Premadasa Stadium,Colombo,R Premadasa Stadium,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"R Premadasa Stadium, Colombo",Colombo,R Premadasa Stadium,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
R.Premadasa Stadium,Colombo,R Premadasa Stadium,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"R.Premadasa Stadium, Khettarama",Colombo,R Premadasa Stadium,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
Radlett Cricket Club,Radlett,Radlett Cricket Club,Radlett,England,approved_auto,source=gemini_candidate
"Radlett Cricket Club, Radlett",Radlett,Radlett Cricket Club,Radlett,England,approved_auto,source=gemini_candidate
Rajiv Gandhi International Stadium,Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,India,approved_auto,source=gemini_candidate
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,India,approved_auto,source=gemini_candidate
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,India,approved_auto,source=gemini_candidate
Rangiri Dambulla International Stadium,Dambulla,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,approved_auto,source=gemini_candidate
Rangiri Dambulla International Stadium,,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,approved_auto,source=gemini_candidate
Rawalpindi Cricket Stadium,Rawalpindi,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,approved_auto,source=gemini_candidate
Rawalpindi Cricket Stadium,,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,approved_auto,source=gemini_candidate
Riverside Ground,Chester-le-Street,Riverside Ground,Chester-le-Street,England,approved_auto,source=gemini_candidate
"Riverside Ground, Chester-le-Street",Chester-le-Street,Riverside Ground,Chester-le-Street,England,approved_auto,source=gemini_candidate
Royal Chiangmai Golf Club,Chiang Mai,Royal Chiangmai Golf Club,Chiang Mai,Thailand,approved_auto,source=gemini_candidate
Royal Chiangmai Golf Club,,Royal Chiangmai Golf Club,Chiang Mai,Thailand,approved_auto,source=gemini_candidate
Royal Selangor Club,Kuala Lumpur,Royal Selangor Club,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
"Royal Selangor Club, Kuala Lumpur",Kuala Lumpur,Royal Selangor Club,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
Ruaraka Sports Club Ground,Nairobi,Ruaraka Sports Club Ground,Nairobi,Kenya,approved_auto,source=gemini_candidate
"Ruaraka Sports Club Ground, Nairobi",Nairobi,Ruaraka Sports Club Ground,Nairobi,Kenya,approved_auto,source=gemini_candidate
"Sabina Park, Jamaica",Kingston,Sabina Park,Kingston,Jamaica,approved_auto,source=gemini_candidate
"Sabina Park, Kingston",Jamaica,Sabina Park,Kingston,Jamaica,approved_auto,source=gemini_candidate
"Sabina Park, Kingston, Jamaica",Kingston,Sabina Park,Kingston,Jamaica,approved_auto,source=gemini_candidate
Sano International Cricket Ground,Sano,Sano International Cricket Ground,Sano,Japan,approved_auto,source=gemini_candidate
Sano International Cricket Ground,,Sano International Cricket Ground,Sano,Japan,approved_auto,source=gemini_candidate
Sano International Cricket Ground 2,Sano,Sano International Cricket Ground,Sano,Japan,approved_auto,source=gemini_candidate
Sao Fernando Polo and Cricket Club,Seropedica,Sao Fernando Polo and Cricket Club,Seropedica,Brazil,approved_auto,source=gemini_candidate
"Sao Fernando Polo and Cricket Club, Campo Sede",Seropedica,Sao Fernando Polo and Cricket Club,Seropedica,Brazil,approved_auto,source=gemini_candidate
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,Sardar Patel Stadium,Ahmedabad,India,approved_auto,source=gemini_candidate
Sardar Patel Stadium,Ahmedabad,Sardar Patel Stadium,Ahmedabad,India,approved_auto,source=gemini_candidate
"Sardar Patel Stadium, Motera",Ahmedabad,Sardar Patel Stadium,Ahmedabad,India,approved_auto,source=gemini_candidate
Saurashtra Cricket Association Stadium,Rajkot,Saurashtra Cricket Association Stadium,Rajkot,India,approved_auto,source=gemini_candidate
Saurashtra Cricket Association Stadium,,Saurashtra Cricket Association Stadium,Rajkot,India,approved_auto,source=gemini_candidate
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,Saurashtra Cricket Association Stadium,Rajkot,India,approved_auto,source=gemini_candidate
Sawai Mansingh Stadium,Jaipur,Sawai Mansingh Stadium,Jaipur,India,approved_auto,source=gemini_candidate
"Sawai Mansingh Stadium, Jaipur",Jaipur,Sawai Mansingh Stadium,Jaipur,India,approved_auto,source=gemini_candidate
Saxton Oval,Nelson,Saxton Oval,Nelson,New Zealand,approved_auto,source=gemini_candidate
Saxton Oval,,Saxton Oval,Nelson,New Zealand,approved_auto,source=gemini_candidate
"Saxton Oval, Nelson",Nelson,Saxton Oval,Nelson,New Zealand,approved_auto,source=gemini_candidate
Sedbergh School,Sedbergh,Sedbergh School,Sedbergh,England,approved_auto,source=gemini_candidate
"The Cricket Field, Sedbergh School",Sedbergh,Sedbergh School,Sedbergh,England,approved_auto,source=gemini_candidate
Seddon Park,Hamilton,Seddon Park,Hamilton,New Zealand,approved_auto,source=gemini_candidate
Seddon Park,,Seddon Park,Hamilton,New Zealand,approved_auto,source=gemini_candidate
"Seddon Park, Hamilton",Hamilton,Seddon Park,Hamilton,New Zealand,approved_auto,source=gemini_candidate
Sedgars Park,Potchefstroom,Sedgars Park,Potchefstroom,South Africa,approved_auto,source=gemini_candidate
"Sedgars Park, Potchefstroom",Potchefstroom,Sedgars Park,Potchefstroom,South Africa,approved_auto,source=gemini_candidate
Seebarn Cricket Centre,Lower Austria,Seebarn Cricket Centre,Vienna,Austria,approved_auto,source=gemini_candidate
"Seebarn Cricket Centre, Lower Austria",Lower Austria,Seebarn Cricket Centre,Vienna,Austria,approved_auto,source=gemini_candidate
Selangor Turf Club,Kuala Lumpur,Selangor Turf Club,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,Selangor Turf Club,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
Senwes Park,Potchefstroom,Senwes Park,Potchefstroom,South Africa,approved_auto,source=gemini_candidate
"Senwes Park, Potchefstroom",Potchefstroom,Senwes Park,Potchefstroom,South Africa,approved_auto,source=gemini_candidate
Shaheed Veer Narayan Singh International Stadium,Raipur,Shaheed Veer Narayan Singh International Stadium,Raipur,India,approved_auto,source=gemini_candidate
Shaheed Veer Narayan Singh International Stadium,,Shaheed Veer Narayan Singh International Stadium,Raipur,India,approved_auto,source=gemini_candidate
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Shaheed Veer Narayan Singh International Stadium,Raipur,India,approved_auto,source=gemini_candidate
Sharjah Cricket Association Stadium,Sharjah,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,approved_auto,source=gemini_candidate
Sharjah Cricket Stadium,Sharjah,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,approved_auto,source=gemini_candidate
Sharjah Cricket Stadium,,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,approved_auto,source=gemini_candidate
Sheikh Abu Naser Stadium,Khulna,Sheikh Abu Naser Stadium,Khulna,Bangladesh,approved_auto,source=gemini_candidate
"Sheikh Abu Naser Stadium, Khulna",Khulna,Sheikh Abu Naser Stadium,Khulna,Bangladesh,approved_auto,source=gemini_candidate
Sheikh Zayed Stadium,Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
Sheikh Zayed Stadium Nursery 1,Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
Sheikh Zayed Stadium Nursery 2,Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
Sher-e-Bangla National Cricket Stadium,Mirpur,Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh,approved_auto,source=gemini_candidate
Shere Bangla National Stadium,Dhaka,Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh,approved_auto,source=gemini_candidate
Shere Bangla National Stadium,Mirpur,Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh,approved_auto,source=gemini_candidate
"Shere Bangla National Stadium, Mirpur",Dhaka,Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh,approved_auto,source=gemini_candidate
"Simonds Stadium, South Geelong",Victoria,"Simonds Stadium, South Geelong",Geelong,Australia,approved_auto,source=gemini_candidate
"Simonds Stadium, South Geelong, Victoria",Geelong,"Simonds Stadium, South Geelong",Geelong,Australia,approved_auto,source=gemini_candidate
Singapore Cricket Club,Padang,Singapore Cricket Club,Singapore,Singapore,approved_auto,source=gemini_candidate
Singapore Cricket Club,Singapore,Singapore Cricket Club,Singapore,Singapore,approved_auto,source=gemini_candidate
Singapore National Cricket Ground,Singapore,Singapore Cricket Club,Singapore,Singapore,approved_auto,source=gemini_candidate
Sinhalese Sports Club,Colombo,Sinhalese Sports Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
Sinhalese Sports Club Ground,Colombo,Sinhalese Sports Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"Sinhalese Sports Club Ground, Colombo",Colombo,Sinhalese Sports Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
Sir Paul Getty's Ground,Wormsley,Sir Paul Getty's Ground,Wormsley,England,approved_auto,source=gemini_candidate
"Sir Paul Getty's Ground, Wormsley",Wormsley,Sir Paul Getty's Ground,Wormsley,England,approved_auto,source=gemini_candidate
Sir Vivian Richards Stadium,North Sound,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Sir Vivian Richards Stadium, Antigua",North Sound,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Sir Vivian Richards Stadium, North Sound",Antigua,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Sir Vivian Richards Stadium, North Sound",,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,approved_auto,source=gemini_candidate
Skarpnack 1,Stockholm,Skarpnack Cricket Ground,Stockholm,Sweden,approved_auto,source=gemini_candidate
Skarpnack 2,Stockholm,Skarpnack Cricket Ground,Stockholm,Sweden,approved_auto,source=gemini_candidate
Sky Stadium,Wellington,Sky Stadium,Wellington,New Zealand,approved_auto,source=gemini_candidate
"Sky Stadium, Wellington",Wellington,Sky Stadium,Wellington,New Zealand,approved_auto,source=gemini_candidate
Sophia Gardens,Cardiff,Sophia Gardens,Cardiff,Wales,approved_auto,source=gemini_candidate
"Sophia Gardens, Cardiff",Cardiff,Sophia Gardens,Cardiff,Wales,approved_auto,source=gemini_candidate
Southend Club Cricket Stadium,Karachi,Southend Club Cricket Stadium,Karachi,Pakistan,approved_auto,source=gemini_candidate
"Southend Club Cricket Stadium, Karachi",Karachi,Southend Club Cricket Stadium,Karachi,Pakistan,approved_auto,source=gemini_candidate
Sportpark Het Schootsveld,Deventer,Sportpark Het Schootsveld,Deventer,Netherlands,approved_auto,source=gemini_candidate
Sportpark Het Schootsveld 2,Deventer,Sportpark Het Schootsveld,Deventer,Netherlands,approved_auto,source=gemini_candidate
"Sportpark Het Schootsveld, Deventer",Deventer,Sportpark Het Schootsveld,Deventer,Netherlands,approved_auto,source=gemini_candidate
Sportpark Maarschalkerweerd,Utrecht,Sportpark Maarschalkerweerd,Utrecht,Netherlands,approved_auto,source=gemini_candidate
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Sportpark Maarschalkerweerd,Utrecht,Netherlands,approved_auto,source=gemini_candidate
Sportpark Westvliet,The Hague,Sportpark Westvliet,The Hague,Netherlands,approved_auto,source=gemini_candidate
"Sportpark Westvliet, The Hague",The Hague,Sportpark Westvliet,The Hague,Netherlands,approved_auto,source=gemini_candidate
"Sportpark Westvliet, Voorburg",The Hague,Sportpark Westvliet,The Hague,Netherlands,approved_auto,source=gemini_candidate
St George's Park,Port Elizabeth,St George's Park,Gqeberha,South Africa,approved_auto,source=gemini_candidate
"St George's Park, Gqeberha",Gqeberha,St George's Park,Gqeberha,South Africa,approved_auto,source=gemini_candidate
"St George's Park, Port Elizabeth",Gqeberha,St George's Park,Gqeberha,South Africa,approved_auto,source=gemini_candidate
"St George's Park, Port Elizabeth",Port Elizabeth,St George's Park,Gqeberha,South Africa,approved_auto,source=gemini_candidate
St Lawrence Ground,Canterbury,St Lawrence Ground,Canterbury,England,approved_auto,source=gemini_candidate
"St Lawrence Ground, Canterbury",Canterbury,St Lawrence Ground,Canterbury,England,approved_auto,source=gemini_candidate
Stellenbosch University 1,,Stellenbosch University,Stellenbosch,South Africa,approved_auto,source=gemini_candidate
Stellenbosch University 2,,Stellenbosch University,Stellenbosch,South Africa,approved_auto,source=gemini_candidate
SuperSport Park,Centurion,SuperSport Park,Centurion,South Africa,approved_auto,source=gemini_candidate
"SuperSport Park, Centurion",Centurion,SuperSport Park,Centurion,South Africa,approved_auto,source=gemini_candidate
Sydney Cricket Ground,Sydney,Sydney Cricket Ground,Sydney,Australia,approved_auto,source=gemini_candidate
Sydney Cricket Ground,,Sydney Cricket Ground,Sydney,Australia,approved_auto,source=gemini_candidate
Sydney Showground Stadium,Sydney,Sydney Showground Stadium,Sydney,Australia,approved_auto,source=gemini_candidate
Sydney Showground Stadium,,Sydney Showground Stadium,Sydney,Australia,approved_auto,source=gemini_candidate
Sylhet International Cricket Stadium,Sylhet,Sylhet International Cricket Stadium,Sylhet,Bangladesh,approved_auto,source=gemini_candidate
Sylhet International Cricket Stadium,,Sylhet International Cricket Stadium,Sylhet,Bangladesh,approved_auto,source=gemini_candidate
"Sylhet International Cricket Stadium, Academy Ground",Sylhet,Sylhet International Cricket Stadium,Sylhet,Bangladesh,approved_auto,source=gemini_candidate
Sylhet Stadium,Sylhet,Sylhet International Cricket Stadium,Sylhet,Bangladesh,approved_auto,source=gemini_candidate
Sylhet Stadium,,Sylhet International Cricket Stadium,Sylhet,Bangladesh,approved_auto,source=gemini_candidate
Tafawa Balewa Square (TBS) Cricket Oval,,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria,approved_auto,source=gemini_candidate
Tafawa Balewa Square Cricket Oval,Lagos,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria,approved_auto,source=gemini_candidate
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria,approved_auto,source=gemini_candidate
Takashinga Sports Club,Harare,Takashinga Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
"Takashinga Sports Club, Highfield, Harare",Harare,Takashinga Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
Ted Summerton Reserve,Moe,Ted Summerton Reserve,Moe,Australia,approved_auto,source=gemini_candidate
"Ted Summerton Reserve, Moe",Moe,Ted Summerton Reserve,Moe,Australia,approved_auto,source=gemini_candidate
Terdthai Cricket Ground,Bangkok,Terdthai Cricket Ground,Bangkok,Thailand,approved_auto,source=gemini_candidate
"Terdthai Cricket Ground, Bangkok",Bangkok,Terdthai Cricket Ground,Bangkok,Thailand,approved_auto,source=gemini_candidate
Thailand Cricket Ground,Bangkok,Terdthai Cricket Ground,Bangkok,Thailand,approved_auto,source=gemini_candidate
The Cooper Associates County Ground,Taunton,The Cooper Associates County Ground,Taunton,England,approved_auto,source=gemini_candidate
"The Cooper Associates County Ground, Taunton",Taunton,The Cooper Associates County Ground,Taunton,England,approved_auto,source=gemini_candidate
The Rose Bowl,Southampton,The Rose Bowl,Southampton,England,approved_auto,source=gemini_candidate
The Rose Bowl (Nursery),Southampton,The Rose Bowl,Southampton,England,approved_auto,source=gemini_candidate
"The Rose Bowl, Southampton",Southampton,The Rose Bowl,Southampton,England,approved_auto,source=gemini_candidate
"The Village, Malahide",Dublin,"The Village, Malahide",Dublin,Ireland,approved_auto,source=gemini_candidate
"The Village, Malahide, Dublin",Dublin,"The Village, Malahide",Dublin,Ireland,approved_auto,source=gemini_candidate
The Vineyard,Dublin,The Vineyard,Dublin,Ireland,approved_auto,source=gemini_candidate
"The Vineyard, Dublin",Dublin,The Vineyard,Dublin,Ireland,approved_auto,source=gemini_candidate
The Wanderers Stadium,Johannesburg,The Wanderers Stadium,Johannesburg,South Africa,approved_auto,source=gemini_candidate
"The Wanderers Stadium, Johannesburg",Johannesburg,The Wanderers Stadium,Johannesburg,South Africa,approved_auto,source=gemini_candidate
Titwood,Glasgow,Titwood,Glasgow,Scotland,approved_auto,source=gemini_candidate
"Titwood, Glasgow",Glasgow,Titwood,Glasgow,Scotland,approved_auto,source=gemini_candidate
Tolerance Oval,Abu Dhabi,Tolerance Oval,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
"Tolerance Oval, Abu Dhabi",Abu Dhabi,Tolerance Oval,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
Tony Ireland Stadium,Townsville,Tony Ireland Stadium,Townsville,Australia,approved_auto,source=gemini_candidate
"Tony Ireland Stadium, Townsville",Townsville,Tony Ireland Stadium,Townsville,Australia,approved_auto,source=gemini_candidate
Traeger Park,Alice Springs,Traeger Park,Alice Springs,Australia,approved_auto,source=gemini_candidate
